"Title","Condizione","Prezzo","Luogo","Id_Venditore","Id_oggetto","Info_venditore"
"Dettagli su   PIASTRELLE PAVIMENTO BAGNO CASA BEIGE 60X120 MODERNO MARCA CORONA GRANDE MARMO","Nuovo","EUR 20,00","CASTELLAMMARE DI STABIA, NA, Italia","romedil-gruppoedico","263687040160","Informazioni sul venditore professionale			ROMEDIL SRL								GIUSEPPE ROMEO	VIA POZZILLO 23G	80053 CASTELLAMMARE DI STABIA, NA		Italia											Informazioni complete																							in caso di fattura richiederla al momento dell'acquisto, fattura con indicazione di iva separata.											Numero registro delle imprese:					 04147141214							Numero Partita IVA:									IT 04147141214												Fornisco fatture con indicazione IVA separata.														Termini e condizioni della vendita										CONTRATTO DI VENDITA: Le vendite OnLine sono riconducibili alle vendite per corrispondenza e quindi senza obbligo di emissione di scontrino fiscale come previsto nell'articolo 2 del d.P.R del 21 dicembre 1996, n. 696. Si tiene traccia della transazione tramite un apposito registro.  L'ACQUIRENTE PERTANTO COMPLETANDO L'ACQUISTO ACCETTA LE SEGUENTI CONDIZIONI: 1 - ACQUISTO -  A) SE SI RICHIEDE FATTURA,DOVRETE AVVISARCI TEMPESTIVAMENTE SCRIVENDOLO NELLE NOTE DELL'ACQUISTO,O PER MESSAGGIO.NON SI EMETTONO FATTURE, DOPO LA SPEDIZIONE DEI PRODOTTI.Per il trasporto ci affidiamo ai corrieri nazionali più importanti( GLS-SDA ), i cui tempi medi di consegna sono i seguenti: 2-3 gg lavorativi in ITALIA, 3-4 gg sulle Isole.B) GLI ARTICOLI IN VENDITA POSSONO ESSERE MOMENTANEAMENTE NON DISPONIBILI, IN TAL CASO IL CLIENTE VERRÀ AVVISATO TEMPESTIVAMENTE IN VIA TELEFONICA O VIA EMAIL. C) UNA VOLTA ACQUISTATO L'ARTICOLO,SI PREGA DI SALDARE IL PAGAMENTO PAYPAL, O COMUNICARCI L'EVENTUALE BONIFICO(INVIARE COPIA VIA MAIL) ENTRO 48H. IN CASO DI MANCATA COMUNICAZIONE O RISPOSTA, INVIEREMO NOTIFICA DI OGGETTO NON PAGATO.  D) INSERIRE INDIRIZZI DI SPEDIZIONE DOVE SARETE PRESENTI, ALLEGANDO RECAPITO TELEFONICO. N.B. Il corriere non è OBBLIGATO di chiamare prima di consegnare la merce. Riceverete via e-mail il link relativo al tracking della spedizione del vostro ordine per poter controllare online lo stato della consegna. 2 - CONSEGNA -  A) NON SIAMO RESPONSABILI DI EVENTUALI DANNI DA TRASPORTO, QUINDI ALLA CONSEGNA DEL CORRIERE, CONTROLLARE SUBITO E ACCURATAMENTE EVENTUALI DANNI DA TRASPORTO, PRIMA DI FIRMARE POSITIVAMENTE LA RICEVUTA. IN CASO DI DANNI VISIBILI,FIRMARE CON RISERVA.Se avete dubbi sull' integrità scrivete sempre sul documento ""si accetta con riserva di verifica del contenuto"" . SOLO IN QUESTO CASO POTREMMO PROVVEDERE AD UNA CONTESTAZIONE AL CORRIERE.IN CASO DI RICEVUTA FIRMATA SENZA RISERVA(POSITIVAMENTE) NON ACCETTEREMO IN NESSUN CASO EVENTUALI RECLAMI DA DANNI AGLI OGGETTI. L'OGGETTO PUO' ESSERE RESTITUITO ENTRO 14 GIORNI DALLA DATA DI VOSTRA CONSEGNA. 3 - CONDIZIONI PER L' APPLICABILITA' DEL RIMBORSO: A) I PRODOTTI DEVONO ESSERE RESTITUITI A VOSTRE SPESE, COSI' COME SONO STATI CONSEGNATI , CIOE' NUOVI E NON USATI, COMPLETI DI TUTTI I COMPONENTI(CAVI,MANUALI ACCESSORI ECC,) E CON GLI IMBALLI ORIGINALI, COMPLETAMENTE INTEGRI. IL NON RISPETTO DELLE PRECEDENTI REGOLE, RENDE INAPPLICABILE IL DIRITTO DI RECESSO. IN CASO DI APPLICAZIONE DEL DIRITTO DI RECESSO, UNA VOLTA RESTITUITO A NOI IL PRODOTTO, SARA' CONTROLLATO,E SE TROVATO PERFETTAMENTE INTEGRO E NON DANNEGGIATO, PROVVEDEREMO AL RIMBORSO DELL'IMPORTO VERSATO DALL'ACQUIRENTE , ESCLUSE LE SPESE DI SPEDIZIONE (CIOE' IL SOLO COSTO DEL PRODOTTO) B) IL PRODOTTO PUO' ESSERE RESTITUITO IN CASO DI MALFUNZIONAMENTO O MERCE DIFETTOSA, ALLEGANDO LO SCONTRINO O EVENTUALE FATTURA, E PROVVEDEREMO ALLA SOSTITUZIONE/RIPARAZIONE IN GARANZIA. C) NON SI ASSUME ALCUNA RESPONSABILITÀ PER PERDITE O ROTTURE DEGLI OGGETTI DOPO L'AVVENUTA CONSEGNA E/O A CAUSA DI UN ERRATO UTILIZZO DEL PRODOTTO. ---TALI REGOLE SARANNO APPLICATE A TUTTI GLI ACQUISTI, SENZA NESSUN ECCEZIONE ALCUNA---"
"Dettagli su   PIASTRELLE PAVIMENTO BAGNO CASA GRIGIO 45X90 MODERN GRIGIO MARCA CORONA GHIACCIO","Nuovo","EUR 20,00","CASTELLAMMARE DI STABIA, NA, Italia","romedil-gruppoedico","262752778003","Informazioni sul venditore professionale			ROMEDIL SRL								GIUSEPPE ROMEO	VIA POZZILLO 23G	80053 CASTELLAMMARE DI STABIA, NA		Italia											Informazioni complete																							in caso di fattura richiederla al momento dell'acquisto, fattura con indicazione di iva separata.											Numero registro delle imprese:					 04147141214							Numero Partita IVA:									IT 04147141214												Fornisco fatture con indicazione IVA separata.														Termini e condizioni della vendita										CONTRATTO DI VENDITA: Le vendite OnLine sono riconducibili alle vendite per corrispondenza e quindi senza obbligo di emissione di scontrino fiscale come previsto nell'articolo 2 del d.P.R del 21 dicembre 1996, n. 696. Si tiene traccia della transazione tramite un apposito registro.  L'ACQUIRENTE PERTANTO COMPLETANDO L'ACQUISTO ACCETTA LE SEGUENTI CONDIZIONI: 1 - ACQUISTO -  A) SE SI RICHIEDE FATTURA,DOVRETE AVVISARCI TEMPESTIVAMENTE SCRIVENDOLO NELLE NOTE DELL'ACQUISTO,O PER MESSAGGIO.NON SI EMETTONO FATTURE, DOPO LA SPEDIZIONE DEI PRODOTTI.Per il trasporto ci affidiamo ai corrieri nazionali più importanti( GLS-SDA ), i cui tempi medi di consegna sono i seguenti: 2-3 gg lavorativi in ITALIA, 3-4 gg sulle Isole.B) GLI ARTICOLI IN VENDITA POSSONO ESSERE MOMENTANEAMENTE NON DISPONIBILI, IN TAL CASO IL CLIENTE VERRÀ AVVISATO TEMPESTIVAMENTE IN VIA TELEFONICA O VIA EMAIL. C) UNA VOLTA ACQUISTATO L'ARTICOLO,SI PREGA DI SALDARE IL PAGAMENTO PAYPAL, O COMUNICARCI L'EVENTUALE BONIFICO(INVIARE COPIA VIA MAIL) ENTRO 48H. IN CASO DI MANCATA COMUNICAZIONE O RISPOSTA, INVIEREMO NOTIFICA DI OGGETTO NON PAGATO.  D) INSERIRE INDIRIZZI DI SPEDIZIONE DOVE SARETE PRESENTI, ALLEGANDO RECAPITO TELEFONICO. N.B. Il corriere non è OBBLIGATO di chiamare prima di consegnare la merce. Riceverete via e-mail il link relativo al tracking della spedizione del vostro ordine per poter controllare online lo stato della consegna. 2 - CONSEGNA -  A) NON SIAMO RESPONSABILI DI EVENTUALI DANNI DA TRASPORTO, QUINDI ALLA CONSEGNA DEL CORRIERE, CONTROLLARE SUBITO E ACCURATAMENTE EVENTUALI DANNI DA TRASPORTO, PRIMA DI FIRMARE POSITIVAMENTE LA RICEVUTA. IN CASO DI DANNI VISIBILI,FIRMARE CON RISERVA.Se avete dubbi sull' integrità scrivete sempre sul documento ""si accetta con riserva di verifica del contenuto"" . SOLO IN QUESTO CASO POTREMMO PROVVEDERE AD UNA CONTESTAZIONE AL CORRIERE.IN CASO DI RICEVUTA FIRMATA SENZA RISERVA(POSITIVAMENTE) NON ACCETTEREMO IN NESSUN CASO EVENTUALI RECLAMI DA DANNI AGLI OGGETTI. L'OGGETTO PUO' ESSERE RESTITUITO ENTRO 14 GIORNI DALLA DATA DI VOSTRA CONSEGNA. 3 - CONDIZIONI PER L' APPLICABILITA' DEL RIMBORSO: A) I PRODOTTI DEVONO ESSERE RESTITUITI A VOSTRE SPESE, COSI' COME SONO STATI CONSEGNATI , CIOE' NUOVI E NON USATI, COMPLETI DI TUTTI I COMPONENTI(CAVI,MANUALI ACCESSORI ECC,) E CON GLI IMBALLI ORIGINALI, COMPLETAMENTE INTEGRI. IL NON RISPETTO DELLE PRECEDENTI REGOLE, RENDE INAPPLICABILE IL DIRITTO DI RECESSO. IN CASO DI APPLICAZIONE DEL DIRITTO DI RECESSO, UNA VOLTA RESTITUITO A NOI IL PRODOTTO, SARA' CONTROLLATO,E SE TROVATO PERFETTAMENTE INTEGRO E NON DANNEGGIATO, PROVVEDEREMO AL RIMBORSO DELL'IMPORTO VERSATO DALL'ACQUIRENTE , ESCLUSE LE SPESE DI SPEDIZIONE (CIOE' IL SOLO COSTO DEL PRODOTTO) B) IL PRODOTTO PUO' ESSERE RESTITUITO IN CASO DI MALFUNZIONAMENTO O MERCE DIFETTOSA, ALLEGANDO LO SCONTRINO O EVENTUALE FATTURA, E PROVVEDEREMO ALLA SOSTITUZIONE/RIPARAZIONE IN GARANZIA. C) NON SI ASSUME ALCUNA RESPONSABILITÀ PER PERDITE O ROTTURE DEGLI OGGETTI DOPO L'AVVENUTA CONSEGNA E/O A CAUSA DI UN ERRATO UTILIZZO DEL PRODOTTO. ---TALI REGOLE SARANNO APPLICATE A TUTTI GLI ACQUISTI, SENZA NESSUN ECCEZIONE ALCUNA---"
"Dettagli su   PIASTRELLE PAVIMENTO BAGNO CASA GRIGIO 75X75 MODERNO GREY MARCA CORONA GRANDE","Nuovo","EUR 20,00","CASTELLAMMARE DI STABIA, NA, Italia","romedil-gruppoedico","262752730918","Informazioni sul venditore professionale			ROMEDIL SRL								GIUSEPPE ROMEO	VIA POZZILLO 23G	80053 CASTELLAMMARE DI STABIA, NA		Italia											Informazioni complete																							in caso di fattura richiederla al momento dell'acquisto, fattura con indicazione di iva separata.											Numero registro delle imprese:					 04147141214							Numero Partita IVA:									IT 04147141214												Fornisco fatture con indicazione IVA separata.														Termini e condizioni della vendita										CONTRATTO DI VENDITA: Le vendite OnLine sono riconducibili alle vendite per corrispondenza e quindi senza obbligo di emissione di scontrino fiscale come previsto nell'articolo 2 del d.P.R del 21 dicembre 1996, n. 696. Si tiene traccia della transazione tramite un apposito registro.  L'ACQUIRENTE PERTANTO COMPLETANDO L'ACQUISTO ACCETTA LE SEGUENTI CONDIZIONI: 1 - ACQUISTO -  A) SE SI RICHIEDE FATTURA,DOVRETE AVVISARCI TEMPESTIVAMENTE SCRIVENDOLO NELLE NOTE DELL'ACQUISTO,O PER MESSAGGIO.NON SI EMETTONO FATTURE, DOPO LA SPEDIZIONE DEI PRODOTTI.Per il trasporto ci affidiamo ai corrieri nazionali più importanti( GLS-SDA ), i cui tempi medi di consegna sono i seguenti: 2-3 gg lavorativi in ITALIA, 3-4 gg sulle Isole.B) GLI ARTICOLI IN VENDITA POSSONO ESSERE MOMENTANEAMENTE NON DISPONIBILI, IN TAL CASO IL CLIENTE VERRÀ AVVISATO TEMPESTIVAMENTE IN VIA TELEFONICA O VIA EMAIL. C) UNA VOLTA ACQUISTATO L'ARTICOLO,SI PREGA DI SALDARE IL PAGAMENTO PAYPAL, O COMUNICARCI L'EVENTUALE BONIFICO(INVIARE COPIA VIA MAIL) ENTRO 48H. IN CASO DI MANCATA COMUNICAZIONE O RISPOSTA, INVIEREMO NOTIFICA DI OGGETTO NON PAGATO.  D) INSERIRE INDIRIZZI DI SPEDIZIONE DOVE SARETE PRESENTI, ALLEGANDO RECAPITO TELEFONICO. N.B. Il corriere non è OBBLIGATO di chiamare prima di consegnare la merce. Riceverete via e-mail il link relativo al tracking della spedizione del vostro ordine per poter controllare online lo stato della consegna. 2 - CONSEGNA -  A) NON SIAMO RESPONSABILI DI EVENTUALI DANNI DA TRASPORTO, QUINDI ALLA CONSEGNA DEL CORRIERE, CONTROLLARE SUBITO E ACCURATAMENTE EVENTUALI DANNI DA TRASPORTO, PRIMA DI FIRMARE POSITIVAMENTE LA RICEVUTA. IN CASO DI DANNI VISIBILI,FIRMARE CON RISERVA.Se avete dubbi sull' integrità scrivete sempre sul documento ""si accetta con riserva di verifica del contenuto"" . SOLO IN QUESTO CASO POTREMMO PROVVEDERE AD UNA CONTESTAZIONE AL CORRIERE.IN CASO DI RICEVUTA FIRMATA SENZA RISERVA(POSITIVAMENTE) NON ACCETTEREMO IN NESSUN CASO EVENTUALI RECLAMI DA DANNI AGLI OGGETTI. L'OGGETTO PUO' ESSERE RESTITUITO ENTRO 14 GIORNI DALLA DATA DI VOSTRA CONSEGNA. 3 - CONDIZIONI PER L' APPLICABILITA' DEL RIMBORSO: A) I PRODOTTI DEVONO ESSERE RESTITUITI A VOSTRE SPESE, COSI' COME SONO STATI CONSEGNATI , CIOE' NUOVI E NON USATI, COMPLETI DI TUTTI I COMPONENTI(CAVI,MANUALI ACCESSORI ECC,) E CON GLI IMBALLI ORIGINALI, COMPLETAMENTE INTEGRI. IL NON RISPETTO DELLE PRECEDENTI REGOLE, RENDE INAPPLICABILE IL DIRITTO DI RECESSO. IN CASO DI APPLICAZIONE DEL DIRITTO DI RECESSO, UNA VOLTA RESTITUITO A NOI IL PRODOTTO, SARA' CONTROLLATO,E SE TROVATO PERFETTAMENTE INTEGRO E NON DANNEGGIATO, PROVVEDEREMO AL RIMBORSO DELL'IMPORTO VERSATO DALL'ACQUIRENTE , ESCLUSE LE SPESE DI SPEDIZIONE (CIOE' IL SOLO COSTO DEL PRODOTTO) B) IL PRODOTTO PUO' ESSERE RESTITUITO IN CASO DI MALFUNZIONAMENTO O MERCE DIFETTOSA, ALLEGANDO LO SCONTRINO O EVENTUALE FATTURA, E PROVVEDEREMO ALLA SOSTITUZIONE/RIPARAZIONE IN GARANZIA. C) NON SI ASSUME ALCUNA RESPONSABILITÀ PER PERDITE O ROTTURE DEGLI OGGETTI DOPO L'AVVENUTA CONSEGNA E/O A CAUSA DI UN ERRATO UTILIZZO DEL PRODOTTO. ---TALI REGOLE SARANNO APPLICATE A TUTTI GLI ACQUISTI, SENZA NESSUN ECCEZIONE ALCUNA---"
"Dettagli su   PAVIMENTO MARCA CORONA NEWLUXE 30X60 NAT. GRES FLIESE FEINSTEINZEUG STONEWARE","Nuovo","EUR 40,00","BOTRICELLO , Italia","giuseppe.iona","223487688240","Informazioni sul venditore professionale			IONA' SRL								giuseppe iona	Via Nazionale 430	88070 Botricello, CZ		Italia											Informazioni complete																															Numero registro delle imprese:					CZ 154013							Numero Partita IVA:									IT 02116030798												Fornisco fatture con indicazione IVA separata."
"Dettagli su   PAVIMENTO MARCA CORONA NEWLUXE 30X60 REFLEX GRES FLIESE FEINSTEINZEUG STONEWARE","Nuovo","EUR 64,00","BOTRICELLO , Italia","giuseppe.iona","323782780472","Informazioni sul venditore professionale			IONA' SRL								giuseppe iona	Via Nazionale 430	88070 Botricello, CZ		Italia											Informazioni complete																															Numero registro delle imprese:					CZ 154013							Numero Partita IVA:									IT 02116030798												Fornisco fatture con indicazione IVA separata."
"Dettagli su   GRES  MARCA CORONA ESSENCES EXTRA 30X120 ST.  HOLZEFFEKT FEINSTEINZEUG STONEWARE","Nuovo","EUR 54,80","BOTRICELLO , Italia","giuseppe.iona","223487691071","Informazioni sul venditore professionale			IONA' SRL								giuseppe iona	Via Nazionale 430	88070 Botricello, CZ		Italia											Informazioni complete																															Numero registro delle imprese:					CZ 154013							Numero Partita IVA:									IT 02116030798												Fornisco fatture con indicazione IVA separata."
"Dettagli su   PAVIMENTO MARCA CORONA NEWLUXE 75X75 REFLEX GRES FLIESE FEINSTEINZEUG STONEWARE","Nuovo","EUR 75,00","BOTRICELLO , Italia","giuseppe.iona","223487696328","Informazioni sul venditore professionale			IONA' SRL								giuseppe iona	Via Nazionale 430	88070 Botricello, CZ		Italia											Informazioni complete																															Numero registro delle imprese:					CZ 154013							Numero Partita IVA:									IT 02116030798												Fornisco fatture con indicazione IVA separata."
"Dettagli su   PAVIMENTO MARCA CORONA NEWLUXE 75x75 NAT. GRES FLIESE FEINSTEINZEUG STONEWARE","Nuovo","EUR 53,50","BOTRICELLO , Italia","giuseppe.iona","323782767338","Informazioni sul venditore professionale			IONA' SRL								giuseppe iona	Via Nazionale 430	88070 Botricello, CZ		Italia											Informazioni complete																															Numero registro delle imprese:					CZ 154013							Numero Partita IVA:									IT 02116030798												Fornisco fatture con indicazione IVA separata."
"Dettagli su   PAVIMENTO MARCA CORONA COTTAGE 15X90 EFF.LEGNO  - FLIESE HOLZOPTIK  STONEWARE","Nuovo","EUR 38,50","BOTRICELLO , Italia","giuseppe.iona","223487684168","Informazioni sul venditore professionale			IONA' SRL								giuseppe iona	Via Nazionale 430	88070 Botricello, CZ		Italia											Informazioni complete																															Numero registro delle imprese:					CZ 154013							Numero Partita IVA:									IT 02116030798												Fornisco fatture con indicazione IVA separata."
"Dettagli su   PAVIMENTO MARCA CORONA NEWLUXE 75X150 NAT. GRES FLIESE FEINSTEINZEUG STONEWARE","Nuovo","EUR 69,80","BOTRICELLO , Italia","giuseppe.iona","223487686681","Informazioni sul venditore professionale			IONA' SRL								giuseppe iona	Via Nazionale 430	88070 Botricello, CZ		Italia											Informazioni complete																															Numero registro delle imprese:					CZ 154013							Numero Partita IVA:									IT 02116030798												Fornisco fatture con indicazione IVA separata."
